Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-15T06:27:29.529Z,""Included"",""auto"",""No"",""380"",""1028"",""14264"",""401"",""16073"",""0.01"""
"2025-10-15T06:26:35.661Z,""Included"",""auto"",""No"",""394"",""1070"",""13889"",""380"",""15733"",""0.01"""
"2025-10-15T06:25:10.382Z,""Included"",""auto"",""No"",""420"",""1054"",""13464"",""390"",""15328"",""0.01"""
"2025-10-15T06:20:46.384Z,""Included"",""auto"",""No"",""437"",""1081"",""13035"",""408"",""14961"",""0.01"""
"2025-10-15T06:16:02.234Z,""Included"",""auto"",""No"",""4032"",""4040"",""9007"",""1428"",""18507"",""0.02"""
"2025-10-15T01:29:23.979Z,""Included"",""auto"",""No"",""455"",""4678"",""12468"",""387"",""17988"",""0.01"""
"2025-10-15T01:24:18.949Z,""Included"",""auto"",""No"",""2712"",""4841"",""11321"",""1472"",""20346"",""0.02"""
"2025-10-15T01:21:12.786Z,""Included"",""auto"",""No"",""1836"",""1051"",""7895"",""403"",""11185"",""0.01"""
"2025-10-15T01:11:38.024Z,""On-Demand"",""claude-4.5-sonnet-thinking"",""No"",""3946"",""4421"",""11900"",""904"",""21171"",""0.04"""
"2025-10-15T00:40:57.157Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""2695"",""552322"",""970"",""555987"",""0.44"""
"2025-10-15T00:40:37.773Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""502"",""527"",""551082"",""751"",""552862"",""0.43"""
"2025-10-15T00:40:13.878Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""541537"",""206204"",""10745"",""574"",""759060"",""4.93"""
"2025-10-13T10:09:39.920Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""924"",""1352"",""52624"",""1849"",""56749"",""0.06"""
"2025-10-13T10:09:25.127Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""2672"",""940"",""50337"",""874"",""54823"",""0.05"""
"2025-10-13T10:05:47.199Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""2974"",""2018"",""48165"",""2551"",""55708"",""0.08"""
"2025-10-13T10:03:40.272Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""1885"",""47955"",""1689"",""51529"",""0.05"""
"2025-10-13T10:03:26.582Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""959"",""281"",""46179"",""237"",""47656"",""0.03"""
"2025-10-13T10:03:13.803Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""743"",""1209"",""46639"",""735"",""49326"",""0.03"""
"2025-10-13T10:02:18.406Z,""Errored, Not Charged"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""0"",""0"",""0"",""0"",""0.00"""
"2025-10-13T10:02:02.005Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""409"",""279"",""45436"",""318"",""46442"",""0.02"""
"2025-10-13T10:01:53.093Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""3271"",""882"",""43352"",""439"",""47944"",""0.04"""
"2025-10-13T10:01:00.359Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""32663"",""1066"",""10808"",""3277"",""47814"",""0.21"""
"2025-10-13T09:41:04.334Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""1753"",""4228"",""35126"",""3274"",""44381"",""0.09"""
"2025-10-13T09:41:02.930Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""0"",""0"",""0"",""0"",""0.00"""
"2025-10-13T09:40:45.874Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""463"",""4828"",""33862"",""1224"",""40377"",""0.04"""
"2025-10-13T09:40:45.722Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""0"",""0"",""0"",""0"",""0.00"""
"2025-10-13T09:40:36.696Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""24360"",""1140"",""10730"",""458"",""36688"",""0.12"""
"2025-10-13T09:34:39.801Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""3396"",""32139"",""1699"",""37234"",""0.05"""
"2025-10-13T09:34:31.211Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""4483"",""3823"",""26884"",""393"",""35583"",""0.05"""
"2025-10-13T09:34:29.709Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""0"",""0"",""0"",""0"",""0.00"""
"2025-10-13T09:34:24.971Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""7886"",""5195"",""20190"",""297"",""33568"",""0.06"""
"2025-10-13T09:30:41.904Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""8465"",""20343"",""2257"",""31065"",""0.07"""
"2025-10-13T09:30:23.314Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""8641"",""19545"",""1377"",""29563"",""0.05"""
"2025-10-13T09:30:21.431Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""0"",""0"",""0"",""0"",""0.00"""
"2025-10-13T09:30:05.991Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""6469"",""19545"",""991"",""27005"",""0.04"""
"2025-10-13T09:30:04.233Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""0"",""0"",""0"",""0"",""0.00"""
"2025-10-13T09:29:45.685Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""547"",""4912"",""18998"",""1121"",""25578"",""0.04"""
"2025-10-13T09:29:44.503Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""0"",""0"",""0"",""0"",""0.00"""
"2025-10-13T09:29:36.343Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""9496"",""1157"",""10735"",""543"",""21931"",""0.06"""
"2025-10-13T09:23:57.076Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""291"",""4847"",""16783"",""2157"",""24078"",""0.05"""
"2025-10-13T09:23:55.723Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""0"",""0"",""0"",""0"",""0.00"""
"2025-10-13T09:23:50.836Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""6510"",""632"",""10701"",""359"",""18202"",""0.04"""
